20:10:15.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 2
20:10:15.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 2
20:10:15.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 2
20:10:15.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 2
20:10:15.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 2
20:10:15.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 2
20:10:15.702 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 2
20:10:15.702 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 2
20:10:15.702 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 2
20:10:18.600 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 3 items.
20:10:18.602 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 3
20:10:18.675 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 4 items.
20:10:18.676 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 5 items.
20:10:18.676 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 6 items.
20:10:18.677 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 7 items.
20:10:18.679 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 8 items.
20:10:18.679 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 7
20:10:18.680 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 9 items.
20:10:18.681 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:18.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 10
20:10:18.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 10
20:10:18.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 10
20:10:18.689 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 10
20:10:18.698 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 3
20:10:18.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 3
20:10:18.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 3
20:10:18.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 3
20:10:18.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 3
20:10:18.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 3
20:10:18.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 3
20:10:18.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 3
20:10:18.701 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 3
20:10:19.254 [Timer-0] INFO  org.arzije.ziberovska.model.Buffer - Buffer size: 3
20:10:21.602 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 4 items.
20:10:21.604 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 4
20:10:21.676 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 5 items.
20:10:21.677 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 6 items.
20:10:21.678 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 7 items.
20:10:21.679 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 8 items.
20:10:21.679 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 8
20:10:21.680 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 9 items.
20:10:21.683 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:21.683 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:21.690 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 11
20:10:21.690 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 11
20:10:21.691 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 11
20:10:21.705 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 4
20:10:21.706 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 4
20:10:21.706 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 4
20:10:21.715 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 4
20:10:21.715 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 4
20:10:21.715 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 4
20:10:21.715 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 4
20:10:21.715 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 4
20:10:21.716 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 4
20:10:21.716 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 4
20:10:24.602 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 5 items.
20:10:24.604 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 5
20:10:24.677 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 6 items.
20:10:24.678 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 7 items.
20:10:24.679 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 8 items.
20:10:24.680 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 9 items.
20:10:24.680 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 9
20:10:24.681 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:24.683 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:24.687 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:24.689 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 12
20:10:24.690 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 12
20:10:24.690 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 12
20:10:24.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 9
20:10:24.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 5
20:10:24.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 5
20:10:24.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 5
20:10:24.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 5
20:10:24.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 5
20:10:24.705 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 5
20:10:24.707 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 5
20:10:24.707 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 5
20:10:24.707 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 5
20:10:27.603 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 6 items.
20:10:27.605 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 6
20:10:27.677 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 7 items.
20:10:27.678 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 8 items.
20:10:27.679 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 9 items.
20:10:27.680 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 9
20:10:27.681 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:27.682 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:27.684 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:27.688 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 13 items.
20:10:27.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 12
20:10:27.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 13
20:10:27.697 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 11
20:10:27.697 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 11
20:10:27.697 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 11
20:10:27.698 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 11
20:10:27.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 11
20:10:27.699 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 10
20:10:27.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 6
20:10:27.709 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 6
20:10:27.711 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 6
20:10:27.711 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 6
20:10:27.711 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 6
20:10:29.252 [Timer-0] INFO  org.arzije.ziberovska.model.Buffer - Buffer size: 6
